id,title,authors,date,artifact_type,topic_tags,source_url,source_owner,source_class,publication_state,ingest_mode,rights_note
"pub-token-exhaustion-2026-08-19","Token-Exhaustion Attacks: When Attention Becomes the Target","Chris Blask","2026-08-19","article","cybersecurity|narrative-security|attention|resilience","https://www.cybrsecmedia.com/the-token-exhaustion-attack/","CYBR.SEC.Media","external_publisher","confirmed_public","metadata_and_canonical_link; full_text_only_after_rights_verification","External publisher; public availability does not by itself grant republication rights."
"pub-hacker-summer-camp-2026-08-10","How Hacker Summer Camp Mentally Rehydrates Us","Chris Blask","2026-08-10","article","cybersecurity|community|institutional-memory|human-factors","https://www.cybrsecmedia.com/how-hacker-summer-camp-mentally-rehydrates-us/","CYBR.SEC.Media","external_publisher","confirmed_public","metadata_and_canonical_link; full_text_only_after_rights_verification","External publisher; public availability does not by itself grant republication rights."
"pub-control-plane-2026-07-28","The Model Wasn't Rogue. The Control Plane Was","Chris Blask","2026-07-28","article","ai-security|control-plane|bounded-authority|evidence","https://securityboulevard.com/2026/07/the-model-wasnt-rogue-the-control-plane-was/","Security Boulevard","external_publisher","confirmed_public","metadata_and_canonical_link; full_text_only_after_rights_verification","External publisher; public availability does not by itself grant republication rights."
"pub-above-the-packet-2026-07-13","Above the Packet: Cybersecurity's New Meaning Layer","Chris Blask","2026-07-13","article","cybersecurity|meaning-layer|provenance|attestation|standards","https://www.cybrsecmedia.com/above-the-packet-field-notes-from-the-meaning-layer/","CYBR.SEC.Media","external_publisher","confirmed_public","metadata_and_canonical_link; full_text_only_after_rights_verification","External publisher; public availability does not by itself grant republication rights."
"pub-agents-knock-2026-07-01","When Agents Knock: PACT, AI Browsers, and the Next Web Perimeter","Chris Blask","2026-07-01","article","ai-agents|web-security|identity|authorization|perimeter","https://www.cybrsecmedia.com/when-agents-knock-pact-ai-browsers-and-the-next-web-perimeter/","CYBR.SEC.Media","external_publisher","confirmed_public","metadata_and_canonical_link; full_text_only_after_rights_verification","External publisher; public availability does not by itself grant republication rights."
"pub-reality-returns-2026-06-16","We Know Reality by What Returns","Chris Blask","2026-06-16","article","trust|continuity|critical-infrastructure|provenance|memory","https://www.cybrsecmedia.com/we-know-reality-by-what-returns/","CYBR.SEC.Media","external_publisher","confirmed_public","metadata_and_canonical_link; full_text_only_after_rights_verification","External publisher; public availability does not by itself grant republication rights."
"pub-attentive-human-confirmation-2026-06-12","Attentive Human Confirmation: What Human in the Loop Actually Means","Chris Blask","2026-06-12","article","human-in-the-loop|governance|authority|ai-security","https://www.linkedin.com/pulse/attentive-human-confirmation-what-loop-actually-means-chris-blask-6jucc","LinkedIn / Chris Blask","external_platform","confirmed_public","metadata_and_canonical_link; full_text_only_after_rights_verification","Hosted on LinkedIn; public availability does not by itself grant republication rights."
"pub-trust-local-stewards-2026-06-08","Trust Is Not a Cloud Service: What Cybersecurity Can Learn from Local AI Stewards","Chris Blask","2026-06-08","article","local-ai|cybersecurity|operational-memory|custody|privacy|human-authority","https://www.cybrsecmedia.com/trust-is-not-a-cloud-service-what-cybersecurity-can-learn-from-local-ai-stewards/","CYBR.SEC.Media","external_publisher","confirmed_public","metadata_and_canonical_link; full_text_only_after_rights_verification","External publisher; public availability does not by itself grant republication rights."
"pub-non-orwellian-experiment-2026-05-14","A Year Into the Non-Orwellian Experiment","Chris Blask","2026-05-14","article","local-ai|memory|witness|stewardship|narrative-integrity","https://www.linkedin.com/pulse/year-non-orwellian-experiment-chris-blask-crwze","LinkedIn / Chris Blask","external_platform","confirmed_public","metadata_and_canonical_link; full_text_only_after_rights_verification","Hosted on LinkedIn; public availability does not by itself grant republication rights."
"pub-narrative-integrity-risk-2026-03-10","Narrative Integrity Risk: The Next Frontier in Financial Stability","Chris Beall|Chris Blask|Jen Rosiere Reynolds","2026-03-10","article","narrative-integrity|financial-stability|governance|ai-amplification","https://www.lawfaremedia.org/article/narrative-integrity-risk--the-next-frontier-in-financial-stability","Lawfare","external_publisher","confirmed_public","metadata_and_canonical_link; full_text_only_after_rights_verification","External publisher; public availability does not by itself grant republication rights."
